pmid,Title,pmid,Abstract,pmid,Author,pmid,Year,pmid,Journal
37922502,Large Mobility Enables Higher Thermoelectric Cooling and Power Generation Performance in n-type AgPb<sub>18+x</sub>SbTe<sub>20</sub> Crystals.,37922502,"The room-temperature thermoelectric performance of materials underpins their thermoelectric cooling ability. Carrier mobility plays a significant role in the electronic transport property of materials, especially near room temperature, which can be optimized by proper composition control and growing crystals. Here, we grow Pb-compensated AgPb",37922502,"['Zhu Y', 'Yu Y', 'Zhang H', 'Qin Y', 'Wang ZY', 'Zhan S', 'Liu D', 'Lin N', 'Tao Y', 'Hong T', 'Wang S', 'Ge ZH', 'Wuttig M', 'Zhao LD']",37922502,2023,37922502,J Am Chem Soc
37922461,Real-time liver motion estimation via deep learning-based angle-agnostic X-ray imaging.,37922461,"BACKGROUND: Real-time liver imaging is challenged by the short imaging time (within hundreds of milliseconds) to meet the temporal constraint posted by rapid patient breathing, resulting in extreme under-sampling for desired 3D imaging. Deep learning (DL)-based real-time imaging/motion estimation techniques are emerging as promising solutions, which can use a single X-ray projection to estimate 3D moving liver volumes by solved deformable motion. However, such techniques were mostly developed for a specific, fixed X-ray projection angle, thereby impractical to verify and guide arc-based radiotherapy with continuous gantry rotation.
PURPOSE: To enable deformable motion estimation and 3D liver imaging from individual X-ray projections acquired at arbitrary X-ray scan angles, and to further improve the accuracy of single X-ray-driven motion estimation.
METHODS: We developed a DL-based method, X360, to estimate the deformable motion of the liver boundary using an X-ray projection acquired at an arbitrary gantry angle (angle-agnostic). X360 incorporated patient-specific prior information from planning 4D-CTs to address the under-sampling issue, and adopted a deformation-driven approach to deform a prior liver surface mesh to new meshes that reflect real-time motion. The liver mesh motion is solved via motion-related image features encoded in the arbitrary-angle X-ray projection, and through a sequential combination of rigid and deformable registration modules. To achieve the angle agnosticism, a geometry-informed X-ray feature pooling layer was developed to allow X360 to extract angle-dependent image features for motion estimation. As a liver boundary motion solver, X360 was also combined with priorly-developed, DL-based optical surface imaging and biomechanical modeling techniques for intra-liver motion estimation and tumor localization.
RESULTS: With geometry-aware feature pooling, X360 can solve the liver boundary motion from an arbitrary-angle X-ray projection. Evaluated on a set of 10 liver patient cases, the mean (± s.d.) 95-percentile Hausdorff distance between the solved liver boundary and the ""ground-truth"" decreased from 10.9 (±4.5) mm (before motion estimation) to 5.5 (±1.9) mm (X360). When X360 was further integrated with surface imaging and biomechanical modeling for liver tumor localization, the mean (± s.d.) center-of-mass localization error of the liver tumors decreased from 9.4 (± 5.1) mm to 2.2 (± 1.7) mm.
CONCLUSION: X360 can achieve fast and robust liver boundary motion estimation from arbitrary-angle X-ray projections for real-time imaging guidance. Serving as a surface motion solver, X360 can be integrated into a combined framework to achieve accurate, real-time, and marker-less liver tumor localization.",37922461,"['Shao HC', 'Li Y', 'Wang J', 'Jiang S', 'Zhang Y']",37922461,2023,37922461,Med Phys
37922435,Digital Health to Patient-Facing Artificial Intelligence: Ethical Implications and Threats to Dignity for Patients With Cancer.,37922435,,37922435,"['Kelkar AH', 'Hantel A', 'Koranteng E', 'Cutler CS', 'Hammer MJ', 'Abel GA']",37922435,2023,37922435,JCO Oncol Pract
37922400,Selective Activation of a TRPC6 Ion Channel Over TRPC3 by Metalated Type-B Polycyclic Polyprenylated Acylphloroglucinols.,37922400,"Selective modulation of TRPC6 ion channels is a promising therapeutic approach for neurodegenerative diseases and depression. A significant advancement showcases the selective activation of TRPC6 through metalated type-B PPAP, termed ",37922400,"['Peslalz P', 'Kraus F', 'Izzo F', 'Bleisch A', 'El Hamdaoui Y', 'Schulz I', 'Kany AM', 'Hirsch AKH', 'Friedland K', 'Plietker B']",37922400,2023,37922400,J Med Chem
37922198,ChatGPT identifies gender disparities in scientific peer review.,37922198,"The peer review process is a critical step in ensuring the quality of scientific research. However, its subjectivity has raised concerns. To investigate this issue, I examined over 500 publicly available peer review reports from 200 published neuroscience papers in 2022-2023. OpenAI's generative artificial intelligence ",37922198,['Verharen JPH'],37922198,2023,37922198,Elife
37922149,Validating the Generalizability of Ophthalmic Artificial Intelligence Models on Real-World Clinical Data.,37922149,"PURPOSE: This study aims to investigate generalizability of deep learning (DL) models trained on commonly used public fundus images to an instance of real-world data (RWD) for glaucoma diagnosis.
METHODS: We used Illinois Eye and Ear Infirmary fundus data set as an instance of RWD in addition to six publicly available fundus data sets. We compared the performance of DL-trained models on public data and RWD for glaucoma classification and optic disc (OD) segmentation tasks. For each task, we created models trained on each data set, respectively, and each model was tested on both data sets. We further examined each model's decision-making process and learned embeddings for the glaucoma classification task.
RESULTS: Using public data for the test set, public-trained models outperformed RWD-trained models in OD segmentation and glaucoma classification with a mean intersection over union of 96.3% and mean area under the receiver operating characteristic curve of 95.0%, respectively. Using the RWD test set, the performance of public models decreased by 8.0% and 18.4% to 85.6% and 76.6% for OD segmentation and glaucoma classification tasks, respectively. RWD models outperformed public models on RWD test sets by 2.0% and 9.5%, respectively, in OD segmentation and glaucoma classification tasks.
CONCLUSIONS: DL models trained on commonly used public data have limited ability to generalize to RWD for classifying glaucoma. They perform similarly to RWD models for OD segmentation.
TRANSLATIONAL RELEVANCE: RWD is a potential solution for improving generalizability of DL models and enabling clinical translations in the care of prevalent blinding ophthalmic conditions, such as glaucoma.",37922149,"['Rashidisabet H', 'Sethi A', 'Jindarak P', 'Edmonds J', 'Chan RVP', 'Leiderman YI', 'Vajaranant TS', 'Yi D']",37922149,2023,37922149,Transl Vis Sci Technol
37922148,"Magnetically Responsive Superhydrophobic Surface with Reversibly Switchable Wettability: Fabrication, Deformation, and Switching Performance.",37922148,"Responsive surfaces with reversibly switchable wettability have attracted widespread attention due to their diverse range of potential applications in the past few years. As a representative example, the magnetically actuated dynamic regulation structured surfaces provide a convenient and unique approach to achieving remote control and instantaneous response. However, (quasi)quantitative design strategies and economical fabrication methods with high precision for magnetically responsive surfaces with both superhydrophobicity and superior wetting switchability still remain challenging. In this work, a manufacturing technique for high-aspect-ratio magnetically responsive superhydrophobic surfaces (MRSSs) via the integration of micromilling, replica molding, and coating modification is proposed. The geometrical parameters of magnetic micropillar arrays (MMAs) on the surface are specially designed on the basis of the Cassie-Wenzel (C-W) transition critical condition in order to guarantee the initial superhydrophobicity of the surface. Benefiting from the reconfigurable microstructures of MMAs in response to magnetic fields (i.e., shifting between upright and curved states), the wettability and adhesion of MRSSs can be reversibly switched. The smart wetting controllability presented on MRSSs is proven to be largely determined by the geometrical parameters and deformation capacity of the micropillars, while the visible wetting switching is mainly ascribed to the variation in wetting regimes of droplets. The modification of the superhydrophobic coatings on the micropillar top is also demonstrated to be capable of further enhancing the initial hydrophobicity and switchable wettability of surfaces, producing water droplets with a volume of 4-6 μL to exhibit the reversible switch from low adhesive superhydrophobicity to high adhesive hydrophilicity. In addition to providing an alternative fabrication strategy, this work also presents a set of design concepts for more applicable and sensitive MRSSs, offering a reference to both fundamental research and practical applications.",37922148,"['Sun R', 'Wu C', 'Hou B', 'Li X', 'Wu J', 'Liu C', 'Chen M']",37922148,2023,37922148,ACS Appl Mater Interfaces
37922118,A Spleen Tyrosine Kinase's Sky in Neuronal Degeneration.,37922118,,37922118,"['Zhang WY', 'Lin S']",37922118,2023,37922118,Neurosci Bull
37921927,Prediction of hospitalization and waiting time within 24 hours of emergency department patients with unstructured text data.,37921927,"Overcrowding of emergency departments is a global concern, leading to numerous negative consequences. This study aimed to develop a useful and inexpensive tool derived from electronic medical records that supports clinical decision-making and can be easily utilized by emergency department physicians. We presented machine learning models that predicted the likelihood of hospitalizations within 24 hours and estimated waiting times. Moreover, we revealed the enhanced performance of these machine learning models compared to existing models by incorporating unstructured text data. Among several evaluated models, the extreme gradient boosting model that incorporated text data yielded the best performance. This model achieved an area under the receiver operating characteristic curve score of 0.922 and an area under the precision-recall curve score of 0.687. The mean absolute error revealed a difference of approximately 3 hours. Using this model, we classified the probability of patients not being admitted within 24 hours as Low, Medium, or High and identified important variables influencing this classification through explainable artificial intelligence. The model results are readily displayed on an electronic dashboard to support the decision-making of emergency department physicians and alleviate overcrowding, thereby resulting in socioeconomic benefits for medical facilities.",37921927,"['Seo H', 'Ahn I', 'Gwon H', 'Kang HJ', 'Kim Y', 'Cho HN', 'Choi H', 'Kim M', 'Han J', 'Kee G', 'Park S', 'Seo DW', 'Jun TJ', 'Kim YH']",37921927,2023,37921927,Health Care Manag Sci
37921836,"Mpox Knowledge, Attitudes, & Practices Among Persons Presenting for JYNNEOS Vaccination - District of Columbia, August-October 2022.",37921836,"BACKGROUND: More than 30,000 mpox cases have been confirmed in the United States since May 2022. Mpox cases have disproportionally occurred among adult gay, bisexual, and other men who have sex with men (MSM), transgender persons, and Black and Hispanic/Latino persons. We examined knowledge, attitudes, and practices regarding mpox vaccination among adults presenting for vaccination to inform prevention efforts.
METHODS: We collected mixed-methods data from a convenience sample of adults presenting for JYNNEOS vaccination at three DC Health mpox vaccine clinics during August-October 2022. Survey and interview topics included knowledge about mpox symptoms and vaccine protection, beliefs about vaccine access, and trusted sources of information.
RESULTS: In total, 352 participants completed self-administered surveys and 62 participants completed an in-depth interview (IDI). Three main themes emerged from survey and interview data. First, most participants had a general understanding about mpox, but gaps remained in comprehensive understanding about mpox symptoms, modes of transmission, vaccine protection, personal risk, and vaccine dosing strategies. Second, participants had high trust in public health agencies. Third, participants wanted more equitable and less stigmatizing access to mpox vaccine services.
CONCLUSIONS: Non-stigmatizing, inclusive, and clear communication from trusted sources, including public health agencies, is needed to address mpox knowledge gaps and increase vaccine access and uptake in affected communities. Mpox outreach efforts should continue innovative approaches, including person-level risk assessment tools, to address community needs.",37921836,"['Hassan R', 'Wondmeneh S', 'Gonzalez Jimenez N', 'Chapman K', 'Mangla A', 'Ashley P', 'Willut C', 'Lee M', 'Rhodes T', 'Gillani S', 'Copen C', 'Jackson DA', 'Waltenburg M', 'Delaney KP', 'Miles G', 'Agnew-Brune C', 'Oakley LP', 'DC PEP++ Project Team*']",37921836,2023,37921836,Sex Transm Dis
